term,grammar_category,polarity,polarity_target,polarity_classification
alienigena,Adj,-1.0,N0,JALC
aligeirado,Adj,0.0,N0,JALC
alimentado,Adj,0.0,N0,JALC
alinhado,Adj,1.0,N0,JALC
aliviado,Adj,0.0,N0,JALC
almo,Adj,1.0,N0,JALC
almoada,Adj,0.0,N0,MAN
almoravida,Adj,0.0,N0,MAN
aloirado,Adj,0.0,N0,MAN
alourado,Adj,0.0,N0,MAN
alquebrado,Adj,-1.0,N0,MAN
altamente,Adj,1.0,N0,JALC
altaneiro,Adj,-1.0,N0,MAN
alteroso,Adj,0.0,N0,JALC
altivo,Adj,-1.0,N0,MAN
alto,Adj,0.0,N0,MAN
altruismo,N,1.0,N0,MAN
altruista,Adj,1.0,N0,MAN
altruistico,Adj,1.0,N0,MAN
aluado,Adj,-1.0,N0,MAN
alucinacao,N,-1.0,N0,MAN
alucinado,Adj,-1.0,N0,MAN
alucinar,V,-1.0,N0,MAN
alumbrado,Adj,-1.0,N0,JALC
alumiado,Adj,1.0,N0,MAN
alvejado,Adj,0.0,N0,JALC
alvissareiro,Adj,0.0,N0,MAN
alvoracado,Adj,-1.0,N0,MAN
amabilidade,N,1.0,N0,MAN
amachucado,Adj,-1.0,N0,JALC
amachucar,V,1.0,N0:N1,MAN
amado,Adj,1.0,N0,JALC
amador,Adj,0.0,N0,JALC
amadorismo,N,-1.0,N0,MAN
amadurecer,V,1.0,N0,MAN
amadurecido,Adj,1.0,N0,JALC
amaldicoado,Adj,-1.0,N0,JALC
amalucado,Adj,-1.0,N0,JALC
amamentado,Adj,0.0,N0,JALC
amaneirado,Adj,-1.0,N0,MAN
amar,V,0.0,N0:N1,MAN
amarelado,Adj,-1.0,N0,JALC
amarelo,Adj,-1.0,N0,JALC
amargado,Adj,-1.0,N0,JALC
amargo,Adj,-1.0,N0,MAN
amargura,N,-1.0,N0,MAN
amargurado,Adj,-1.0,N0,MAN
amaricado,Adj,-1.0,N0,JALC
amarrado,Adj,-1.0,N0,JALC
amassado,Adj,-1.0,N0,JALC
amavel,Adj,1.0,N0,MAN
ambicioso,Adj,0.0,N0,MAN
ambidestro,Adj,0.0,N0,MAN
ambidextro,Adj,0.0,N0,MAN
ambiguidade,N,-1.0,N0,MAN
ambiguo,Adj,-1.0,N0,MAN
ambiopia,N,-1.0,N0,MAN
ambliopia,N,-1.0,N0,MAN
ambrosiano,Adj,0.0,N0,MAN
ameaca,N,-1.0,N0,MAN
ameacador,Adj,-1.0,N0,MAN
ameacante,Adj,-1.0,N0,MAN
amedrontado,Adj,-1.0,N0,JALC
amedrontador,Adj,-1.0,N0,MAN
amedrontar,V,1.0,N0:N1,MAN
ameno,Adj,1.0,N0,JALC
americanista,Adj,0.0,N0,MAN
americanofilo,Adj,0.0,N0,MAN
americanofobo,Adj,-1.0,N0,MAN
amestrado,Adj,1.0,N0,JALC
amigalhaco,Adj,1.0,N0,MAN
amigalhao,Adj,1.0,N0,MAN
amigavel,Adj,1.0,N0,MAN
amigo da onca,Adj,-1.0,N0,MAN
amigo da pinga,Adj,-1.0,N0,MAN
amigo dos copos,Adj,-1.0,N0,MAN
amigo,Adj,1.0,N0,MAN
amistoso,Adj,1.0,N0,MAN
amnesia,N,-1.0,N0,MAN
amnesico,Adj,-1.0,N0,MAN
amolecer,V,-1.0,N0,MAN
amoral,Adj,-1.0,N0,MAN
amoralidade,N,-1.0,N0,MAN
amoralista,Adj,-1.0,N0,JALC
amoravel,Adj,1.0,N0,MAN
amorfia,N,-1.0,N0,MAN
amorfo,Adj,-1.0,N0,MAN
amorosidade,N,1.0,N0,MAN
amoroso,Adj,1.0,N0,MAN
amortecido,Adj,-1.0,N0,JALC
amotinado,Adj,-1.0,N0,JALC
amputado,Adj,-1.0,N0,JALC
amuado,Adj,-1.0,N0,MAN
amuamento,N,-1.0,N0,MAN
amuar,V,-1.0,N0,MAN
amuo,N,-1.0,N0,MAN
anacronico,Adj,-1.0,N0,JALC
anacronico,Adj,-1.0,N0,JALC
anafado,Adj,-1.0,N0,MAN
analfabeto,Adj,-1.0,N0,MAN
analisador,Adj,0.0,N0,JALC
analista,Adj,0.0,N0,JALC
anao,Adj,-1.0,N0,MAN
anarquico,Adj,-1.0,N0,JALC
anarquista,Adj,-1.0,N0,MAN
anciao,Adj,0.0,N0,MAN
andante,Adj,-1.0,N0,JALC
andar a apanhar bones,IDIOM,-1.0,N0,MAN
andar a deriva,IDIOM,-1.0,N0,MAN
andar a dormir a sombra da bananeira,IDIOM,-1.0,N0,MAN
andar a dormir,IDIOM,-1.0,N0,MAN
andar a falar sozinho,IDIOM,-1.0,N0,MAN
andar a nora,IDIOM,-1.0,N0,MAN
andar a pensar na morte da bezerra,IDIOM,-1.0,N0,MAN
andar a reboque de,IDIOM,-1.0,N0:N1,MAN
andar a sombra da bananeira,IDIOM,-1.0,N0,MAN
andar ao deus dara,IDIOM,-1.0,N0,MAN
andar aos bones,IDIOM,-1.0,N0,MAN
andar aos caidos,IDIOM,-1.0,N0,MAN
andar aos papeis,IDIOM,-1.0,N0,MAN
andar armado em carapau de corrida,IDIOM,-1.0,N0,MAN
andar as aranhas,IDIOM,-1.0,N0,MAN
andar as cavalitas de,IDIOM,-1.0,N0:N1,MAN
andar as cegas,IDIOM,-1.0,N0,MAN
andar as turras com,IDIOM,-1.0,N0:N1,MAN
andar com a cabeca na lua,IDIOM,-1.0,N0,MAN
andar com cara de caso,IDIOM,-1.0,N0,MAN
andar com dor de corno,IDIOM,-1.0,N0,MAN
andar com dor de cotovelo,IDIOM,-1.0,N0,MAN
andar com macacos na cabeca,IDIOM,-1.0,N0,MAN
andar com macacos no sotao,IDIOM,-1.0,N0,MAN
andar com macaquinhos na cabeca,IDIOM,-1.0,N0,MAN
andar com macaquinhos no sotao,IDIOM,-1.0,N0,MAN
andar com o coracao nas maos,IDIOM,-1.0,N0,MAN
andar com os azeites,IDIOM,-1.0,N0,MAN
andar de olhos vendados,IDIOM,-1.0,N0,MAN
andar de trombas,IDIOM,-1.0,N0,MAN
andar em pele e osso,IDIOM,-1.0,N0,MAN
andar feito barata tonta,IDIOM,-1.0,N0,MAN
andar feito com,IDIOM,-1.0,N0:N1,MAN
andar na boa vida,IDIOM,-1.0,N0,MAN
andar na lua,IDIOM,-1.0,N0,MAN
andar na ma vida,IDIOM,-1.0,N0,MAN
andar nas sete quintas,IDIOM,1.0,N0,MAN
andar pelos cabelos,IDIOM,-1.0,N0,MAN
andarilho,Adj,0.0,N0,JALC
andrajoso,Adj,-1.0,N0,MAN
anedotico,Adj,-1.0,N0,JALC
anemico,Adj,-1.0,N0,JALC
anemico,Adj,-1.0,N0,JALC
anestesiado,Adj,-1.0,N0,JALC
anestesiar,V,1.0,N0:N1,MAN
anexado,Adj,0.0,N0,JALC
anexionista,Adj,0.0,N0,MAN
angelical,Adj,1.0,N0,MAN
angelico,Adj,1.0,N0,MAN
angelita,Adj,0.0,N0,MAN
anglicano,Adj,0.0,N0,MAN
anglofilo,Adj,0.0,N0,MAN
anglofobo,Adj,-1.0,N0,MAN
angustiado,Adj,-1.0,N0,JALC
angustiante,Adj,-1.0,N0,JALC
angustiar,V,0.0,N0:N1,MAN
animacao,N,1.0,N0,MAN
animado,Adj,1.0,N0,MAN
animador,Adj,1.0,N0,MAN
animal politico,N,1.0,N0,MAN
animal,Adj,-1.0,N0,MAN
animar,V,1.0,N0:N1,MAN
animista,Adj,0.0,N0,MAN
animosidade,N,-1.0,N0,MAN
animoso,Adj,1.0,N0,MAN
aniquilado,Adj,-1.0,N0,JALC
aniquilar,V,1.0,N0:N1,MAN
anjinho,Adj,-1.0,N0,MAN
anomalo,Adj,-1.0,N0,JALC
anorectico,Adj,-1.0,N0,MAN
anoretico,Adj,-1.0,N0,MAN
anorexia nervosa,N,-1.0,N0,MAN
anorexia,N,-1.0,N0,MAN
anormal,Adj,-1.0,N0,MAN
anormalidade,N,-1.0,N0,MAN
anotia,N,-1.0,N0,MAN
ansioso,Adj,-1.0,N0,JALC
antepassado,Adj,0.0,N0,JALC
anti-republicano,Adj,-1.0,N0,MAN
antidemocrata,Adj,-1.0,N0,MAN
antidesportista,Adj,-1.0,N0,MAN
antidesportivismo,N,-1.0,N0,MAN
antidogmatico,Adj,1.0,N0,MAN
antifascista,Adj,1.0,N0,MAN
antifederalista,Adj,0.0,N0,MAN
antigo,Adj,0.0,N0,MAN
antiliberal,Adj,-1.0,N0,MAN
antiliberalista,Adj,-1.0,N0,MAN
antimilitarista,Adj,0.0,N0,MAN
antinatural,Adj,-1.0,N0,MAN
antinazista,Adj,1.0,N0,MAN
antinomico,Adj,-1.0,N0,JALC
antipapista,Adj,0.0,N0,MAN
antipartidario,Adj,0.0,N0,MAN
antipatia,N,-1.0,N0,MAN
antipatico,Adj,-1.0,N0,MAN
antipatriota,Adj,-1.0,N0,MAN
antipatriotismo,N,-1.0,N0,MAN
antipolitico,Adj,-1.0,N0,MAN
antiquado,Adj,-1.0,N0,JALC
antisocial,Adj,-1.0,N0,MAN
antoniano,Adj,0.0,N0,MAN
antonino,Adj,0.0,N0,MAN
antropofago,Adj,-1.0,N0,MAN
anular,V,1.0,N0:N1,MAN
apadrinhado,Adj,0.0,N0,JALC
apagado,Adj,-1.0,N0,MAN
apagar-se,V,-1.0,N0,MAN
apagar,V,1.0,N0:N1,MAN
apaixonado,Adj,0.0,N0,JALC
apaixonante,Adj,1.0,N0,MAN
apaixonar-se,V,0.0,N0:N1,MAN
apaixonar,V,1.0,N0:N1,MAN
apalavrado,Adj,0.0,N0,JALC
apalermado,Adj,-1.0,N0,MAN
apalhacado,Adj,-1.0,N0,JALC
apancado,Adj,-1.0,N0,JALC
apanhado,Adj,-1.0,N0,JALC
apanhar nas orelhas,IDIOM,-1.0,N0,MAN
apanhar por tabela,IDIOM,-1.0,N0,MAN
apaparicar,V,-1.0,N0:N1,MAN
aparolado,Adj,-1.0,N0,MAN
apartado,Adj,-1.0,N0,JALC
aparvalhado,Adj,-1.0,N0,MAN
apatetado,Adj,-1.0,N0,MAN
apatia,N,-1.0,N0,MAN
apatico,Adj,-1.0,N0,MAN
apatriota,Adj,-1.0,N0,MAN
apavorado,Adj,-1.0,N0,JALC
apavorante,Adj,-1.0,N0,MAN
apavorar-se,V,-1.0,N0,MAN
apavorar,V,1.0,N0:N1,MAN
apaziguador,Adj,1.0,N0,MAN
apaziguar,V,1.0,N0:N1,MAN
apeado,Adj,-1.0,N0,JALC
apedantado,Adj,-1.0,N0,MAN
apedrejado,Adj,-1.0,N0,JALC
apedrejar,V,-1.0,N0:N1,MAN
apelativo,Adj,1.0,N0,MAN
apele,Adj,0.0,N0,JALC
apelidado,Adj,0.0,N0,JALC
aperaltado,Adj,-1.0,N0,MAN
aperreado,Adj,-1.0,N0,JALC
apessoado,Adj,1.0,N0,MAN
apetitoso,Adj,0.0,N0,JALC
aplaudir,V,0.0,N0:N1,MAN
aplicado,Adj,1.0,N0,MAN
aplicar golpes baixos a,IDIOM,-1.0,N0:N1,MAN
apocrifo,Adj,-1.0,N0,JALC
apoiar,V,0.0,N0:N1,MAN
apolineo,Adj,1.0,N0,MAN
apologetico,Adj,0.0,N0,MAN
apoplectico,Adj,-1.0,N0,JALC
apopletico,Adj,-1.0,N0,JALC
apoquentado,Adj,-1.0,N0,JALC
apoquentador,Adj,-1.0,N0,MAN
aposentado,Adj,0.0,N0,MAN
apostado,Adj,1.0,N0,JALC
apostata,Adj,-1.0,N0,JALC
aprazivel,Adj,1.0,N0,MAN
apreciado,Adj,1.0,N0,JALC
apreciador,Adj,1.0,N0,MAN
apreciar,V,0.0,N0:N1,MAN
apreciavel,Adj,1.0,N0,JALC
apreendido,Adj,-1.0,N0,JALC
apreensivo,Adj,-1.0,N0,MAN
apresentar alternativas,IDIOM,1.0,N0,MAN
apresentar resultados,IDIOM,1.0,N0,MAN
apresentavel,Adj,1.0,N0,MAN
apressado,Adj,0.0,N0,MAN
aprimorado,Adj,1.0,N0,JALC
apriorista,Adj,-1.0,N0,MAN
aprisionado,Adj,-1.0,N0,JALC
aprontado,Adj,0.0,N0,MAN
aprontar,V,-1.0,N0,MAN
apropriado,Adj,1.0,N0,MAN
apropriar-se,V,-1.0,N0:N1,MAN
aprovado,Adj,1.0,N0,JALC
aproveitador,Adj,-1.0,N0,MAN
aproveitar-se,V,-1.0,N0:N1,MAN
aprumado,Adj,1.0,N0,MAN
aprumo,N,1.0,N0,MAN
apto,Adj,1.0,N0,MAN
apunhalado,Adj,-1.0,N0,JALC
apunhalar pelas costas,IDIOM,-1.0,N0:N1,MAN
apunhalar,V,-1.0,N0:N1,MAN
apupar,V,0.0,N0:N1,MAN
apurado,Adj,1.0,N0,JALC
aquietador,Adj,-1.0,N0,MAN
arabe,Adj,0.0,N0,JALC
arbitrario,Adj,-1.0,N0,JALC
arcaico,Adj,-1.0,N0,MAN
ardente,Adj,1.0,N0,JALC
ardil,N,-1.0,N0,MAN
ardiloso,Adj,-1.0,N0,MAN
ardoroso,Adj,0.0,N0,MAN
arduo,Adj,-1.0,N0,JALC
arfante,Adj,-1.0,N0,MAN
arguto,Adj,0.0,N0,MAN
ariano,Adj,0.0,N0,MAN
arido,Adj,-1.0,N0,JALC
arisco,Adj,-1.0,N0,MAN
aristocrata,Adj,0.0,N0,JALC
aristotelico,Adj,0.0,N0,MAN
armado,Adj,0.0,N0,MAN
armar barraca,IDIOM,-1.0,N0,MAN
armar-se aos cagados,IDIOM,-1.0,N0,MAN
armar-se aos cucos,IDIOM,-1.0,N0,MAN
armar-se em carapau de corrida,IDIOM,-1.0,N0,MAN
armar-se em chico esperto,IDIOM,-1.0,N0,MAN
armar-se em parvo,IDIOM,-1.0,N0,MAN
armar-se,V,-1.0,N0,MAN
arnaz,Adj,1.0,N0,MAN
arquejante,Adj,-1.0,N0,MAN
arrancado,Adj,0.0,N0,JALC
arranhado,Adj,-1.0,N0,MAN
arranjar lenha para se queimar,IDIOM,-1.0,N0,MAN
arranjar sarna para se cocar,IDIOM,-1.0,N0,MAN
